,x,u
0,-1.0,-0.07041418934168453
1,-0.9310344827586207,-0.14826463844281457
2,-0.8620689655172413,-0.21232022660326322
3,-0.7931034482758621,-0.2632736256398719
4,-0.7241379310344828,-0.30215353721590965
5,-0.6551724137931034,-0.32996687911624006
6,-0.5862068965517242,-0.3473438068310413
7,-0.5172413793103448,-0.355419105720432
8,-0.4482758620689655,-0.35475586102928147
9,-0.3793103448275862,-0.34627639370652247
10,-0.31034482758620685,-0.33068565421709073
11,-0.24137931034482762,-0.3086065998562932
12,-0.1724137931034483,-0.2808418724645899
13,-0.10344827586206895,-0.2478432456308748
14,-0.03448275862068961,-0.21034915167282875
15,0.034482758620689724,-0.1688445085424779
16,0.10344827586206895,-0.12385056614814516
17,0.17241379310344818,-0.07589213181241217
18,0.24137931034482762,-0.025336128320346485
19,0.31034482758620685,0.02732953138971128
20,0.3793103448275863,0.08178058367166341
21,0.4482758620689655,0.1376585454249566
22,0.5172413793103448,0.1946613356378969
23,0.5862068965517242,0.2525394731399291
24,0.6551724137931034,0.3110438630862117
25,0.7241379310344827,0.3699965132899732
26,0.7931034482758621,0.4292293171078875
27,0.8620689655172413,0.48862273580459425
28,0.9310344827586208,0.5480893407487081
29,1.0,0.607576070684094
