,x,u
0,-1.0,0.08717810908431556
1,-0.9591836734693877,0.06438872603877893
2,-0.9183673469387755,0.04334299666977226
3,-0.8775510204081632,0.02394955676224278
4,-0.8367346938775511,0.00611948015444827
5,-0.7959183673469388,-0.010233704188886389
6,-0.7551020408163265,-0.025193995710953987
7,-0.7142857142857143,-0.03884290642629337
8,-0.6734693877551021,-0.05125944573419827
9,-0.6326530612244898,-0.06252010590240836
10,-0.5918367346938775,-0.072698848240694
11,-0.5510204081632653,-0.08186708998321302
12,-0.5102040816326531,-0.09009369189771499
13,-0.4693877551020408,-0.09744494663882344
14,-0.4285714285714286,-0.10398456786172795
15,-0.3877551020408163,-0.10977368011166748
16,-0.34693877551020413,-0.11487080950360139
17,-0.30612244897959184,-0.11933187520541763
18,-0.26530612244897955,-0.12321018173695444
19,-0.22448979591836737,-0.12655641209600388
20,-0.18367346938775508,-0.12941862172130011
21,-0.1428571428571429,-0.1318422333013275
22,-0.10204081632653061,-0.13387003243657197
23,-0.061224489795918324,-0.13554216416159934
24,-0.020408163265306145,-0.13689613033209924
25,0.020408163265306145,-0.13796678788076053
26,0.061224489795918435,-0.13878634794456213
27,0.1020408163265305,-0.13938437586477273
28,0.1428571428571428,-0.13978779205965997
29,0.18367346938775508,-0.14002087376861602
30,0.22448979591836737,-0.14010525766511245
31,0.26530612244897966,-0.14005994333462216
32,0.30612244897959173,-0.1399012976123685
33,0.346938775510204,-0.13964305977451802
34,0.3877551020408163,-0.13929634757518905
35,0.4285714285714286,-0.13886966412045187
36,0.4693877551020409,-0.1383689055693044
37,0.510204081632653,-0.1377973696504653
38,0.5510204081632653,-0.13715576498270204
39,0.5918367346938775,-0.13644222118534977
40,0.6326530612244898,-0.13565229976461574
41,0.6734693877551021,-0.1347790057602997
42,0.7142857142857142,-0.13381280013658894
43,0.7551020408163265,-0.1327416128997016
44,0.7959183673469388,-0.13155085692430193
45,0.8367346938775511,-0.1302234424698082
46,0.8775510204081634,-0.12873979236698482
47,0.9183673469387754,-0.12707785785451503
48,0.9591836734693877,-0.12521313504461373
49,1.0,-0.12311868199618595
