,x,u
0,0.0,0.4232048913667658
1,0.01,0.4231987737223277
2,0.02,0.42319865607788976
3,0.03,0.4232105384334517
4,0.04,0.42324042078901364
5,0.05,0.4232943031445756
6,0.06,0.4233781855001377
7,0.07,0.42349806785569966
8,0.08,0.4236599502112615
9,0.09,0.42386983256682353
10,0.1,0.4241337149223854
11,0.11,0.4244575972779474
12,0.12,0.42484747963350966
13,0.13,0.42530936198907127
14,0.14,0.42584924434463367
15,0.15,0.42647312670019516
16,0.16,0.42718700905575674
17,0.17,0.42799689141131864
18,0.18,0.428908773766881
19,0.19,0.429928656122443
20,0.2,0.4310625384780049
21,0.21,0.4323164208335669
22,0.22,0.4336963031891289
23,0.23,0.43520818554469076
24,0.24,0.4368580679002528
25,0.25,0.4386519502558147
26,0.26,0.44059583261137664
27,0.27,0.44269571496693866
28,0.28,0.44495759732250134
29,0.29,0.4473874796780625
30,0.3,0.4499913620336252
31,0.31,0.4527752443891872
32,0.32,0.45574512674474843
33,0.33,0.4589070091003104
34,0.34,0.4622668914558723
35,0.35,0.4658307738114357
36,0.36,0.46960465616699765
37,0.37,0.4735945385225582
38,0.38,0.4778064208781202
39,0.39,0.4822463032336821
40,0.4,0.48692018558924405
41,0.41,0.49183406794480744
42,0.42,0.4969939503003694
43,0.43,0.50240583265593
44,0.44,0.5080757150114918
45,0.45,0.5140095973670539
46,0.46,0.5202134797226158
47,0.47,0.5266933620781777
48,0.48,0.5334552444337411
49,0.49,0.5405051267893031
50,0.5,0.5478490091448636
51,0.51,0.5554928915004256
52,0.52,0.5634427738559875
53,0.53,0.5717046562115495
54,0.54,0.5802845385671115
55,0.55,0.5891884209226734
56,0.56,0.5984223032782369
57,0.57,0.6079921856337973
58,0.58,0.6179040679893593
59,0.59,0.6281639503449212
60,0.6,0.6387778327004846
61,0.61,0.6497517150560466
62,0.62,0.6610915974116072
63,0.63,0.672803479767169
64,0.64,0.6848933621227311
65,0.65,0.697367244478293
66,0.66,0.7102311268338549
67,0.67,0.7234910091894169
68,0.68,0.737152891544979
69,0.69,0.7512227739005436
70,0.7,0.7657066562561056
71,0.71,0.7806105386116646
72,0.72,0.7959404209672266
73,0.73,0.8117023033227886
74,0.74,0.8279021856783505
75,0.75,0.8445460680339125
76,0.76,0.8616399503894745
77,0.77,0.8791898327450365
78,0.78,0.8972017151005984
79,0.79,0.9156815974561605
80,0.8,0.9346354798117225
81,0.81,0.9540693621672843
82,0.82,0.973989244522849
83,0.83,0.994401126878411
84,0.84,1.01531100923397
85,0.85,1.036724891589532
86,0.86,1.058648773945094
87,0.87,1.0810886563006559
88,0.88,1.1040505386562178
89,0.89,1.1275404210117799
90,0.9,1.151564303367342
91,0.91,1.176128185722904
92,0.92,1.2012380680784658
93,0.93,1.2268999504340279
94,0.94,1.2531198327895896
95,0.95,1.2799037151451544
96,0.96,1.3072575975007164
97,0.97,1.3351874798562755
98,0.98,1.3636993622118374
99,0.99,1.3927992445673996
